,lcc,ndvi
82,24,0.24279718
139,24,0.1435395
130,24,0.450265
32,24,0.5227009
10,24,0.5126684
129,24,0.39483565
105,24,0.18435639
80,24,0.03504634
34,24,0.5531579
71,24,0.1978134
35,24,0.36655813
106,24,0.5409688
91,24,0.42293558
131,,
19,24,0.5503727
42,24,0.560558
27,24,0.48075745
5,24,0.46073404
88,24,0.2834008
72,24,0.15796015
70,24,0.13350554
40,24,0.49373776
132,24,0.48075745
48,24,0.22259045
143,,
120,,
33,24,0.27416798
54,24,0.49016416
102,24,0.09935811
124,24,0.05603564
127,24,0.28342208
64,24,0.4972644
79,24,0.19050816
13,24,0.5971003
69,24,0.22834428
28,24,0.38140967
83,24,0.31545874
60,24,0.16994852
68,24,0.52785146
74,24,0.26334912
47,24,0.33698827
63,24,0.5236532
94,24,0.11689541
20,24,0.3325671
16,24,0.5811873
98,24,0.3878714
107,24,0.07982881
9,24,0.47406784
86,24,0.08930111
4,24,0.57500887
53,24,0.30804613
43,24,0.4511578
17,24,0.1435395
97,24,0.35621923
66,24,0.07393739
122,24,0.49373776
109,,
99,24,0.1477661
128,24,0.24117184
3,24,0.39210775
73,24,0.3521849
103,24,0.5242272
123,24,0.4264453
50,24,0.25082618
108,24,0.0946575
12,24,0.49409828
100,24,0.07959129
137,24,0.5103777
77,24,0.12248656
136,,
22,24,0.33433306
90,24,0.61508715
31,24,0.3678206
92,24,0.51761067
2,24,0.5488047
110,24,0.46971616
11,24,0.5135155
141,24,0.4468681
126,24,0.06852364
78,24,0.079805896
62,24,0.22853173
24,24,0.38463733
75,24,0.457631
65,24,0.03813351
85,24,0.4612326
29,24,0.5126684
144,24,0.5488047
21,24,0.46721163
134,24,0.43350282
44,24,0.5535795
