,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX,TSK,QVAPOR,net_lw,r_net
2016-05-24 20:00:00,20.6684509277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.590606689,0.00992149394006,0.0,0.0
2016-05-24 21:00:00,18.0724121094,0.0,0.0,323.744995117,396.025878906,-1.46869981289,-23.9340305328,36.3923797607,289.243896484,0.00930678099394,-72.2808837891,-72.2808837891
2016-05-24 22:00:00,18.1369873047,0.0,0.0,321.889984131,392.489196777,0.512504816055,-30.8195953369,29.6205234528,288.745178223,0.00867002084851,-70.5992126465,-70.5992126465
2016-05-24 23:00:00,17.9237609863,0.0,0.0,321.188934326,391.661560059,1.46033215523,-37.0294075012,24.091840744,288.53729248,0.00829037278891,-70.4726257324,-70.4726257324
2016-05-25 00:00:00,17.2479797363,0.0,0.0,319.344299316,388.875640869,1.30589199066,-36.4410934448,23.6961669922,287.991394043,0.00817789789289,-69.5313415527,-69.5313415527
2016-05-25 01:00:00,17.0184570313,0.0,0.0,318.278106689,387.203369141,1.34373235703,-36.8091964722,22.5271701813,287.692443848,0.0079109184444,-68.9252624512,-68.9252624512
2016-05-25 02:00:00,16.7270446777,0.0,0.0,316.985900879,385.718475342,1.35545599461,-37.0628852844,21.8849620819,287.388793945,0.00768347969279,-68.7325744629,-68.7325744629
2016-05-25 03:00:00,16.5582519531,0.0,0.0,315.975952148,384.330169678,1.33468818665,-37.4719161987,21.0618972778,287.162109375,0.00749028800055,-68.3542175293,-68.3542175293
2016-05-25 04:00:00,16.345880127,0.0,0.0,314.344970703,382.927520752,1.07753360271,-36.7687110901,21.3495750427,286.859191895,0.0074194194749,-68.5825500488,-68.5825500488
2016-05-25 05:00:00,15.217401123,0.0,0.0,311.010162354,378.816955566,0.130936041474,-28.9902305603,26.4024429321,286.004211426,0.00738314911723,-67.8067932129,-67.8067932129
2016-05-25 06:00:00,13.9067321777,9.48270797729,0.853443741798,307.291564941,373.256622314,-1.24306249619,-19.6594276428,26.4838047028,285.458129883,0.00732377450913,-65.965057373,-57.3357931376
2016-05-25 07:00:00,17.7824645996,174.876281738,30.4002380371,311.064331055,396.763549805,32.7081794739,-14.1831655502,-43.3691329956,290.232421875,0.00780614186078,-85.69921875,58.7768249512
2016-05-25 08:00:00,19.925958252,378.857818604,65.8600921631,313.092529297,417.6925354,79.5775222778,25.7116622925,-97.5907211304,294.028625488,0.00950702559203,-104.600006104,208.397720337
2016-05-25 09:00:00,22.6105895996,579.872314453,100.804130554,320.358428955,440.445587158,139.3256073,67.3908081055,-138.845611572,297.949859619,0.00968668516725,-120.087158203,358.981025696
2016-05-25 10:00:00,24.6017089844,757.268310547,131.642364502,327.427703857,459.160858154,203.677139282,109.172637939,-160.191604614,300.825317383,0.00885333120823,-131.733154297,493.892791748
2016-05-25 11:00:00,25.8553405762,897.194946289,155.966964722,331.741027832,472.106262207,256.230834961,148.449981689,-167.045562744,302.828430176,0.00792750623077,-140.365234375,600.862747192
2016-05-25 12:00:00,26.5492492676,983.381774902,170.949661255,340.233428955,481.443237305,287.506530762,183.689025879,-163.517028809,304.191253662,0.00770937185735,-141.20980835,671.222305298
2016-05-25 13:00:00,27.4862609863,1018.71166992,177.091339111,342.996765137,487.987335205,315.414459229,196.743896484,-145.726776123,304.985473633,0.00695919618011,-144.990570068,696.629760742
2016-05-25 14:00:00,27.8782287598,1002.90576172,174.343643188,337.517089844,488.718963623,311.46762085,194.944839478,-128.838012695,305.364715576,0.00712006306276,-151.201873779,677.360244751
2016-05-25 15:00:00,28.1360717773,920.056396484,159.941223145,343.480255127,488.760314941,291.220489502,171.668167114,-109.48991394,305.426391602,0.00697568804026,-145.280059814,614.835113525
2016-05-25 16:00:00,28.2607666016,787.578674316,136.911437988,347.039428711,487.000976562,271.908325195,140.547836304,-65.747833252,304.460632324,0.00666074547917,-139.961547852,510.705688477
2016-05-25 17:00:00,28.2706542969,616.414245605,107.156539917,350.227996826,482.91973877,212.062530518,92.0853424072,-44.2539291382,303.870361328,0.0074489787221,-132.691741943,376.565963745
2016-05-25 18:00:00,27.8287902832,421.240539551,73.2278060913,351.412841797,472.811309814,154.962097168,46.0362625122,-5.70326137543,302.30380249,0.00792445428669,-121.398468018,226.614265442
2016-05-25 19:00:00,27.3822265625,218.683349609,38.0155754089,350.412139893,463.085601807,78.088684082,5.70861053467,24.8956031799,300.800323486,0.0080126915127,-112.673461914,67.9943122864
2016-05-25 20:00:00,22.6337524414,38.9874191284,6.77751350403,353.167480469,442.840637207,2.3607943058,7.79359436035,65.3584823608,296.442016602,0.00904110167176,-89.6731567383,-57.4632511139
2016-05-25 21:00:00,19.9782653809,0.0,0.0,343.927398682,417.992950439,-2.17762899399,1.67611694336,75.7648620605,293.268218994,0.0100351087749,-74.0655517578,-74.0655517578
2016-05-25 22:00:00,20.4739013672,0.0,0.0,340.18548584,416.417541504,0.468046873808,-10.4455442429,65.5663452148,292.753723145,0.0099715385586,-76.2320556641,-76.2320556641
2016-05-25 23:00:00,21.0029541016,0.0,0.0,339.809417725,415.168487549,3.59490060806,-26.5550117493,53.4808921814,293.039123535,0.00961982365698,-75.3590698242,-75.3590698242
2016-05-26 00:00:00,21.1628662109,0.0,0.0,339.595153809,417.879516602,3.84966301918,-33.734828949,45.5365524292,293.007659912,0.00926381815225,-78.284362793,-78.284362793
2016-05-26 01:00:00,19.6917663574,0.0,0.0,335.23059082,409.040618896,1.08924102783,-22.0916481018,49.3984375,291.390838623,0.00924982875586,-73.8100280762,-73.8100280762
2016-05-26 02:00:00,16.6418701172,0.0,0.0,330.265777588,397.339141846,-2.65579795837,-6.10929298401,55.6152572632,289.288696289,0.00922873709351,-67.0733642578,-67.0733642578
2016-05-26 03:00:00,16.7242675781,0.0,0.0,328.946411133,395.062927246,-3.18580842018,-8.89657783508,50.9748802185,289.141784668,0.00922257360071,-66.1165161133,-66.1165161133
2016-05-26 04:00:00,16.1164794922,0.0,0.0,329.238494873,393.723815918,-2.71486115456,-7.89982557297,49.1185302734,288.617340088,0.00894354935735,-64.4853210449,-64.4853210449
2016-05-26 05:00:00,14.8809753418,0.0,0.0,327.989013672,390.573272705,-2.53136229515,-4.87301015854,49.7461242676,287.63192749,0.00891215540469,-62.5842590332,-62.5842590332
2016-05-26 06:00:00,16.5266662598,10.0272550583,0.902453184128,332.022369385,393.775695801,-0.801242232323,-10.6569252014,36.819732666,288.800598145,0.00852247793227,-61.753326416,-52.6285245419
2016-05-26 07:00:00,19.6155334473,170.446365356,29.6301441193,333.589294434,414.695220947,40.6438827515,-5.09840726852,-23.1442165375,292.508666992,0.00871183164418,-81.1059265137,59.7102947235
2016-05-26 08:00:00,20.7715087891,366.539703369,63.7187080383,336.210113525,427.53717041,79.8455200195,46.5353546143,-70.802444458,295.745178223,0.0103403469548,-91.3270568848,211.493938446
2016-05-26 09:00:00,23.3837524414,560.252502441,97.3934707642,346.724761963,450.581268311,137.893722534,92.4131774902,-108.873725891,299.399414062,0.0108944149688,-103.856506348,359.00252533
2016-05-26 10:00:00,25.3473144531,730.694702148,127.02281189,354.577209473,468.492095947,191.582839966,136.204467773,-133.862121582,302.298095703,0.0110768042505,-113.914886475,489.757003784
2016-05-26 11:00:00,25.4229064941,382.967376709,66.5744934082,407.195678711,460.923034668,121.898323059,68.5252456665,-50.732460022,300.711639404,0.0113467620686,-53.727355957,262.665527344
