,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-24 20:00:00,291.757995605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-24 21:00:00,291.148040771,0.0,0.0,325.268493652,396.371826172,3.64360904694,-25.5361175537,48.3681869507
2016-05-24 22:00:00,289.973388672,0.0,0.0,320.212432861,391.753601074,2.18392634392,-27.4933261871,45.1579284668
2016-05-24 23:00:00,289.350006104,0.0,0.0,317.198516846,387.480316162,1.13360381126,-29.6693153381,41.1472511292
2016-05-25 00:00:00,288.921020508,0.0,0.0,317.103057861,384.422546387,0.107771828771,-29.1378955841,37.6137313843
2016-05-25 01:00:00,288.671539307,0.0,0.0,317.59173584,382.575744629,-1.56554460526,-30.7754688263,32.1521453857
2016-05-25 02:00:00,288.136016846,0.0,0.0,316.247009277,379.879852295,-5.39347791672,-27.4575805664,30.3484840393
2016-05-25 03:00:00,287.634246826,0.0,0.0,315.16494751,377.274810791,-7.81429576874,-23.7150230408,29.9264431
2016-05-25 04:00:00,287.447753906,0.0,0.0,314.006378174,374.584381104,-8.08224964142,-23.3692417145,28.737411499
2016-05-25 05:00:00,287.087677002,0.0,0.0,311.311676025,372.69342041,-8.6771030426,-24.3331508636,27.6857833862
2016-05-25 06:00:00,286.82901001,19.8959197998,2.38751077652,307.99597168,369.329040527,-5.01294565201,-17.8737812042,22.9821510315
2016-05-25 07:00:00,289.124450684,191.798400879,23.0158023834,307.661621094,390.383636475,39.2843132019,11.6841459274,-31.3341655731
2016-05-25 08:00:00,292.651245117,394.701416016,47.3641662598,315.992156982,415.764038086,125.076873779,45.7691192627,-74.3228530884
2016-05-25 09:00:00,295.571716309,593.825805664,71.2591018677,322.366333008,439.079711914,198.801940918,94.9295959473,-108.647689819
2016-05-25 10:00:00,298.038513184,768.362854004,92.2035522461,330.286956787,459.133239746,295.914398193,127.840705872,-122.087852478
2016-05-25 11:00:00,299.816162109,902.073791504,108.248878479,339.437927246,474.010650635,366.73449707,164.860275269,-126.419616699
2016-05-25 12:00:00,300.982666016,984.825500488,118.179046631,347.395477295,482.488922119,432.919647217,184.395950317,-114.975746155
2016-05-25 13:00:00,301.421264648,1017.33404541,122.080101013,346.147674561,485.583892822,455.701538086,198.262496948,-102.394615173
2016-05-25 14:00:00,301.739776611,988.238342285,118.588615417,348.601501465,487.041107178,450.219543457,192.981872559,-88.8468170166
2016-05-25 15:00:00,301.969787598,899.051696777,107.886222839,355.450317383,486.364746094,421.883575439,165.821517944,-73.8885345459
2016-05-25 16:00:00,301.921539307,728.271484375,87.3926086426,365.379608154,481.744018555,358.818450928,112.386131287,-55.111366272
2016-05-25 17:00:00,301.195465088,541.569519043,64.9883651733,365.056030273,470.578918457,290.070068359,53.1715774536,-29.9491596222
2016-05-25 18:00:00,300.055053711,396.736663818,47.6084022522,352.076141357,459.081481934,214.33895874,18.8095989227,-11.0671482086
2016-05-25 19:00:00,298.095245361,194.86239624,23.3834857941,349.245239258,443.957519531,107.539291382,-12.4356708527,14.9542179108
2016-05-25 20:00:00,294.636383057,23.0152664185,2.76183128357,337.134460449,419.596191406,18.1267967224,-27.3512096405,50.1372337341
2016-05-25 21:00:00,293.63494873,0.0,0.0,335.879394531,406.476715088,1.59566497803,-12.49193573,58.1579856873
2016-05-25 22:00:00,292.346435547,0.0,0.0,330.90246582,399.853759766,1.68073391914,-15.5080718994,54.2169342041
2016-05-25 23:00:00,291.292053223,0.0,0.0,326.2472229,394.109222412,1.25838303566,-14.8854475021,52.8116645813
2016-05-26 00:00:00,290.76940918,0.0,0.0,328.366241455,390.077209473,1.09665703773,-17.0336551666,45.7061805725
2016-05-26 01:00:00,289.999481201,0.0,0.0,326.416809082,389.076904297,1.30110216141,-26.8853244781,36.9849815369
2016-05-26 02:00:00,289.539001465,0.0,0.0,325.356933594,386.819854736,-0.752830445766,-24.2419071198,35.3249740601
2016-05-26 03:00:00,289.303131104,0.0,0.0,324.021636963,382.700256348,-4.17139053345,-18.0985069275,35.4786720276
2016-05-26 04:00:00,289.583190918,0.0,0.0,326.26776123,378.517547607,-5.13914680481,-11.3879861832,35.3688049316
2016-05-26 05:00:00,289.346618652,0.0,0.0,325.213989258,376.450073242,-5.64496517181,-10.3334951401,34.1798362732
2016-05-26 06:00:00,289.221008301,20.7884483337,2.49461436272,322.445068359,373.965820312,-3.21891593933,-9.32222080231,23.6482982635
2016-05-26 07:00:00,290.274780273,189.90637207,22.7887649536,321.951385498,399.817596436,35.0179405212,18.9385261536,-32.0955429077
2016-05-26 08:00:00,294.142791748,391.896911621,47.0276222229,329.325592041,426.870056152,105.65537262,58.6578636169,-79.0220031738
2016-05-26 09:00:00,296.902740479,586.603515625,70.3924331665,337.492553711,452.14175415,182.654968262,108.1432724,-107.974205017
2016-05-26 10:00:00,299.242828369,759.917175293,91.1900558472,347.360595703,474.619842529,250.798583984,161.225509644,-127.071434021
2016-05-26 11:00:00,301.02444458,891.246948242,106.949623108,358.487670898,491.348083496,323.458526611,202.748886108,-126.185127258
2016-05-26 12:00:00,302.14944458,973.451843262,116.814239502,362.285339355,500.051391602,377.370361328,221.047958374,-120.719490051
2016-05-26 13:00:00,302.42388916,996.077575684,119.529312134,368.097503662,505.274597168,393.871246338,242.084243774,-105.863258362
