,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-25 00:00:00,293.740112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25 01:00:00,292.971557617,0.0,0.0,329.608306885,392.339294434,0.824633598328,-15.7297534943,46.7055969238
2016-05-25 02:00:00,291.605804443,0.0,0.0,326.950805664,390.840423584,2.63986849785,-27.3367824554,38.8916358948
2016-05-25 03:00:00,290.44052124,0.0,0.0,323.993286133,388.653442383,3.90529298782,-31.1258144379,36.6109161377
2016-05-25 04:00:00,289.520172119,0.0,0.0,321.571838379,384.51751709,2.78768205643,-27.8644618988,37.2131156921
2016-05-25 05:00:00,288.656707764,0.0,0.0,320.080230713,381.391082764,0.728119730949,-24.8616352081,36.5354499817
2016-05-25 06:00:00,288.222625732,0.0,0.0,319.634368896,378.899505615,-4.26295518875,-19.3020324707,35.0479660034
2016-05-25 07:00:00,287.949951172,0.0,0.0,318.232543945,376.307220459,-7.21419620514,-16.2000255585,34.0294723511
2016-05-25 08:00:00,287.899505615,0.0,0.0,317.295562744,373.434234619,-7.9659280777,-12.8760414124,34.4286231995
2016-05-25 09:00:00,287.571716309,0.0,0.0,314.223754883,369.981231689,-8.73019790649,-11.5554285049,34.9019622803
2016-05-25 10:00:00,287.05279541,9.29538726807,1.86697721481,312.703155518,369.431488037,-9.01876449585,-14.5201034546,27.0246543884
2016-05-25 11:00:00,288.770324707,174.305160522,35.0091667175,313.292388916,389.12902832,35.5098838806,7.32502222061,-17.5607337952
2016-05-25 12:00:00,291.609466553,377.77935791,75.8769073486,318.894714355,411.691314697,98.0693511963,48.874786377,-58.1934356689
2016-05-25 13:00:00,294.304718018,579.282226562,116.348762512,326.785919189,431.712188721,195.651794434,75.8474349976,-83.4418411255
2016-05-25 14:00:00,296.707824707,756.772094727,151.997528076,334.779052734,449.949859619,291.056091309,95.9033279419,-100.641265869
