,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-25 00:00:00,293.274200439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25 01:00:00,291.93637085,0.0,0.0,326.559082031,393.973571777,3.14248251915,-24.8228912354,44.9890899658
2016-05-25 02:00:00,290.955352783,0.0,0.0,323.420684814,391.159759521,3.31509256363,-30.2557697296,40.3441848755
2016-05-25 03:00:00,290.386352539,0.0,0.0,321.871124268,389.955596924,4.47230386734,-37.6421546936,34.4111976624
2016-05-25 04:00:00,289.628448486,0.0,0.0,319.826049805,386.813262939,4.19713878632,-36.2947921753,34.152973175
2016-05-25 05:00:00,289.03894043,0.0,0.0,319.490234375,383.218139648,3.12030625343,-31.9768028259,34.350692749
2016-05-25 06:00:00,288.604644775,0.0,0.0,319.582550049,381.035552979,1.959897995,-30.2697601318,32.5789489746
2016-05-25 07:00:00,287.625915527,0.0,0.0,317.598968506,377.891143799,0.0567473322153,-24.3164043427,34.7862091064
2016-05-25 08:00:00,287.233551025,0.0,0.0,316.000183105,374.915008545,-5.79466772079,-19.6695194244,33.0364227295
2016-05-25 09:00:00,287.252990723,0.0,0.0,315.712677002,374.181091309,-7.71238088608,-22.1384048462,28.4186439514
2016-05-25 10:00:00,287.066894531,10.9720010757,2.2223842144,314.106781006,372.514953613,-7.63763809204,-18.1484146118,24.7607517242
2016-05-25 11:00:00,288.964630127,178.880142212,36.2322616577,312.700134277,390.106140137,31.9760227203,9.1281747818,-20.8346729279
2016-05-25 12:00:00,292.092651367,384.032714844,77.7860183716,318.4949646,413.853118896,90.0837860107,49.6213111877,-66.9588699341
2016-05-25 13:00:00,295.027770996,584.732177734,118.437820435,329.527893066,434.705108643,191.086151123,72.568901062,-94.1985855103
2016-05-25 14:00:00,297.204772949,761.228027344,154.18711853,338.273376465,452.931304932,276.637573242,102.199508667,-111.353050232
2016-05-25 15:00:00,298.939849854,898.576965332,182.007202148,346.377716064,467.219116211,353.110748291,123.519386292,-118.12588501
2016-05-25 16:00:00,300.207611084,986.799743652,199.876785278,352.229492188,474.318664551,424.209503174,128.773757935,-111.817123413
2016-05-25 17:00:00,300.7918396,1018.27307129,206.251708984,356.761657715,477.115905762,459.05480957,131.352127075,-101.313713074
2016-05-25 18:00:00,301.190032959,987.312744141,199.980667114,363.845153809,478.701080322,464.197631836,119.832107544,-89.2435073853
2016-05-25 19:00:00,301.351928711,906.013305664,183.513458252,359.689300537,476.429199219,439.590057373,92.4980697632,-74.6939468384
2016-05-25 20:00:00,301.373382568,768.112792969,155.581573486,361.084106445,472.754150391,380.683898926,60.2166481018,-60.7613563538
2016-05-25 21:00:00,301.145202637,577.125793457,116.897140503,369.492706299,467.761413574,292.324279785,26.2933959961,-44.780670166
2016-05-25 22:00:00,300.255340576,374.763061523,75.9084320068,373.086517334,458.230926514,200.52456665,-6.56984996796,-22.4745121002
2016-05-25 23:00:00,298.793365479,192.48085022,38.9870834351,364.155456543,446.054779053,85.4087982178,-15.0048913956,-3.32857346535
2016-05-26 00:00:00,296.203460693,23.9332962036,4.8477025032,356.867828369,424.829956055,15.7711896896,-27.2840881348,33.7861061096
2016-05-26 01:00:00,294.364837646,0.0,0.0,349.203277588,413.591461182,7.99293708801,-33.961063385,38.3630447388
2016-05-26 02:00:00,292.583312988,0.0,0.0,342.831115723,407.213439941,11.3137950897,-30.9504299164,43.4307327271
2016-05-26 03:00:00,291.42401123,0.0,0.0,338.556304932,400.603546143,10.4955272675,-26.9052867889,44.9529037476
2016-05-26 04:00:00,290.163726807,0.0,0.0,332.356048584,394.268127441,6.02910709381,-18.6428966522,48.2417678833
2016-05-26 05:00:00,290.24911499,0.0,0.0,335.158538818,392.408447266,2.70380163193,-12.3343830109,45.2900352478
2016-05-26 06:00:00,289.454315186,0.0,0.0,329.852539062,385.974731445,1.5772550106,-15.056889534,43.041721344
2016-05-26 07:00:00,289.356781006,0.0,0.0,331.138061523,386.442657471,0.758969426155,-19.1069946289,36.3794517517
2016-05-26 08:00:00,288.899871826,0.0,0.0,330.683044434,384.013549805,-3.66565895081,-13.8071489334,35.0972900391
2016-05-26 09:00:00,289.168945312,0.0,0.0,328.671569824,384.091796875,-7.56242895126,-23.5525016785,25.0073413849
2016-05-26 10:00:00,288.723449707,11.6241178513,2.35447120667,328.324127197,376.876953125,-3.9440767765,-5.65459489822,31.7764453888
2016-05-26 11:00:00,289.863250732,177.495239258,35.951751709,326.292877197,398.088043213,30.3744029999,18.624994278,-17.6346588135
2016-05-26 12:00:00,293.769592285,375.873260498,76.1333312988,334.461761475,423.325592041,87.3566207886,51.2923774719,-67.1439971924
2016-05-26 13:00:00,297.460388184,570.481689453,115.551330566,349.382354736,448.717590332,181.790100098,72.3902282715,-98.3276138306
2016-05-26 14:00:00,299.888122559,745.246582031,150.950088501,359.799743652,466.442993164,283.146636963,90.7371826172,-111.908531189
2016-05-26 15:00:00,301.516967773,879.242858887,178.091049194,367.716308594,478.916564941,369.596954346,105.028160095,-114.579978943
2016-05-26 16:00:00,302.376098633,960.364624023,194.522323608,375.678070068,484.793609619,445.393432617,105.49420166,-106.161109924
2016-05-26 17:00:00,302.615783691,993.85144043,201.305130005,375.10736084,487.103240967,473.335083008,112.857368469,-95.2535018921
2016-05-26 18:00:00,302.752532959,975.462585449,197.580429077,372.695861816,486.513641357,472.906311035,107.691635132,-83.8274536133
2016-05-26 19:00:00,302.873443604,887.823425293,179.829086304,381.599182129,487.767211914,429.406097412,99.9501190186,-73.9348220825
2016-05-26 20:00:00,302.288909912,751.109985352,152.137710571,382.285858154,477.902069092,398.364837646,57.3948974609,-49.2709159851
2016-05-26 21:00:00,301.51550293,578.857910156,117.247932434,386.322052002,471.328399658,305.960266113,38.3744544983,-34.0989456177
2016-05-26 22:00:00,300.071014404,392.529388428,79.5070037842,376.698822021,460.458770752,197.662887573,19.3067703247,-14.5157976151
2016-05-26 23:00:00,297.947296143,194.797042847,39.4562301636,365.401641846,443.634460449,111.525268555,-17.7232837677,13.6718406677
2016-05-27 00:00:00,295.130859375,24.6485462189,4.99257516861,354.487548828,424.414428711,28.1346588135,-34.1250839233,41.3119697571
2016-05-27 01:00:00,293.024536133,0.0,0.0,342.458251953,411.731048584,9.47389221191,-26.9321136475,50.5397033691
2016-05-27 02:00:00,292.083465576,0.0,0.0,341.859466553,405.846557617,7.75760173798,-23.1624412537,48.3934745789
2016-05-27 03:00:00,292.290893555,0.0,0.0,352.767578125,406.309631348,8.87184810638,-25.4713954926,37.2522735596
2016-05-27 04:00:00,291.932647705,0.0,0.0,357.026794434,405.749145508,6.91200733185,-22.4110813141,32.5859680176
2016-05-27 05:00:00,291.566436768,0.0,0.0,355.369293213,402.96395874,4.9522023201,-22.1997680664,30.0325908661
2016-05-27 06:00:00,291.537384033,0.0,0.0,354.048706055,402.014282227,5.4154047966,-27.8146800995,25.2794475555
2016-05-27 07:00:00,291.676055908,0.0,0.0,353.875457764,401.546173096,7.55986976624,-34.463558197,20.5551834106
2016-05-27 08:00:00,291.438476562,0.0,0.0,353.346923828,400.114562988,8.81869029999,-36.2999572754,18.9807682037
2016-05-27 09:00:00,290.875915527,0.0,0.0,352.070159912,397.452941895,6.54646682739,-30.3075714111,20.897857666
2016-05-27 10:00:00,290.617370605,11.862490654,2.40275335312,351.996551514,395.611816406,12.2695388794,-29.032371521,17.8724689484
2016-05-27 11:00:00,292.515136719,172.766403198,34.9939231873,350.479949951,408.07409668,64.6029434204,-3.40737581253,-15.5374898911
2016-05-27 12:00:00,295.322631836,369.781158447,74.8993453979,358.541107178,428.02923584,148.491119385,24.4796886444,-49.3554725647
2016-05-27 13:00:00,297.564422607,557.777404785,112.978111267,366.152587891,446.154327393,230.704864502,58.957950592,-72.9311141968
2016-05-27 14:00:00,299.394897461,731.543762207,148.174530029,374.397003174,459.386230469,337.314880371,76.4062194824,-83.439491272
2016-05-27 15:00:00,300.483337402,867.030151367,175.617370605,380.096160889,469.912963867,401.411254883,109.879318237,-89.3302612305
2016-05-27 16:00:00,301.305847168,954.344055176,193.302902222,380.892059326,475.983886719,458.061218262,121.927909851,-85.8839416504
