,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-24 20:00:00,295.324462891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-24 21:00:00,294.494049072,0.0,0.0,335.658111572,387.43145752,-2.42512607574,-13.8181028366,33.496295929
2016-05-24 22:00:00,293.421813965,0.0,0.0,334.097686768,384.78112793,-2.59657073021,-15.1211290359,31.8947734833
2016-05-24 23:00:00,292.278564453,0.0,0.0,329.239654541,381.152709961,-5.07955503464,-15.4870996475,31.2292957306
2016-05-25 00:00:00,291.18447876,0.0,0.0,328.318634033,382.312011719,-5.02743577957,-21.9779434204,26.8296718597
2016-05-25 01:00:00,290.357574463,0.0,0.0,324.398406982,379.228820801,-7.93403720856,-12.5236873627,30.9433631897
2016-05-25 02:00:00,288.711608887,0.0,0.0,321.571655273,370.977416992,-6.60876083374,-7.06775569916,34.4321174622
2016-05-25 03:00:00,288.023529053,0.0,0.0,316.6484375,367.528320312,-8.04341506958,-7.64908266068,34.2035903931
2016-05-25 04:00:00,287.559417725,0.0,0.0,315.985443115,364.822631836,-7.38113498688,-7.1988325119,33.5493736267
2016-05-25 05:00:00,286.903320312,0.0,0.0,313.772277832,362.02230835,-7.28374528885,-7.16876173019,33.2357177734
2016-05-25 06:00:00,287.610687256,3.42616701126,0.488935709,315.346191406,362.136962891,-6.51335477829,-9.56404495239,28.4699707031
2016-05-25 07:00:00,288.677398682,161.052932739,22.9832725525,315.571258545,387.762359619,45.2936630249,11.3917551041,-5.49930381775
2016-05-25 08:00:00,292.351165771,363.307342529,51.8462715149,323.016021729,415.394195557,118.347068787,60.1399002075,-35.5691947937
2016-05-25 09:00:00,295.873809814,563.395019531,80.4000320435,335.632629395,443.045379639,216.642807007,97.0963516235,-58.2680473328
2016-05-25 10:00:00,298.285308838,740.26751709,105.640861511,346.528198242,463.734558105,318.216430664,127.661987305,-70.3592453003
2016-05-25 11:00:00,299.956695557,881.597167969,125.809509277,351.762573242,476.682037354,405.635681152,149.097091675,-75.6197891235
2016-05-25 12:00:00,301.136901855,974.25390625,139.032196045,356.458862305,485.397186279,465.612060547,164.96963501,-76.1230316162
