,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-25 00:00:00,293.914642334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25 01:00:00,293.287780762,0.0,0.0,331.207275391,393.098632812,0.997772634029,-14.4689149857,47.2022132874
2016-05-25 02:00:00,292.002288818,0.0,0.0,328.632629395,390.694946289,3.04555559158,-24.2119960785,40.5114135742
2016-05-25 03:00:00,290.644317627,0.0,0.0,325.166687012,388.117736816,3.32688093185,-26.6292743683,38.6800765991
2016-05-25 04:00:00,289.440856934,0.0,0.0,322.089599609,383.361846924,0.339178740978,-20.7528018951,40.1272239685
2016-05-25 05:00:00,288.911956787,0.0,0.0,321.2449646,381.139160156,-3.82795763016,-18.1969509125,37.1506195068
2016-05-25 06:00:00,288.405517578,0.0,0.0,319.567901611,377.870910645,-6.74146461487,-13.8110837936,36.9982223511
2016-05-25 07:00:00,288.210571289,0.0,0.0,318.6277771,375.572052002,-8.02242469788,-12.4203643799,35.5600891113
2016-05-25 08:00:00,287.991241455,0.0,0.0,316.768157959,371.891143799,-7.8891620636,-9.97952461243,36.4689826965
2016-05-25 09:00:00,287.492156982,0.0,0.0,314.521728516,369.240447998,-8.75742721558,-10.049202919,35.3487854004
2016-05-25 10:00:00,286.951782227,8.23491191864,1.68052208424,313.110229492,368.927124023,-10.7182703018,-12.9363470078,26.7798881531
2016-05-25 11:00:00,288.761138916,171.937469482,35.0877799988,313.36505127,388.835845947,29.2264575958,7.83305072784,-21.0774822235
2016-05-25 12:00:00,291.6534729,375.178466797,76.5637588501,319.202636719,411.540130615,93.9575653076,45.8419494629,-62.6856079102
2016-05-25 13:00:00,294.101959229,577.065673828,117.76348114,325.733459473,430.75088501,187.242019653,76.525970459,-87.5372390747
2016-05-25 14:00:00,296.4949646,755.406982422,154.158111572,332.999237061,448.309783936,285.550384521,95.0263748169,-103.600646973
2016-05-25 15:00:00,298.263366699,894.930908203,182.631118774,339.256225586,461.814422607,357.484680176,119.409179688,-111.580253601
2016-05-25 16:00:00,299.533630371,986.174682617,201.251525879,343.588867188,469.160461426,430.994781494,120.625808716,-107.309127808
2016-05-25 17:00:00,300.565063477,1019.84594727,208.122909546,346.59753418,473.714782715,473.680419922,110.943641663,-99.9846343994
2016-05-25 18:00:00,301.082641602,981.439331055,200.28515625,357.803253174,476.415161133,465.816101074,105.863731384,-91.0631256104
2016-05-25 19:00:00,301.454162598,876.949768066,178.961715698,367.297088623,475.927734375,430.592102051,80.6958465576,-78.4957427979
2016-05-25 20:00:00,301.686248779,770.041442871,157.144592285,366.285644531,474.185821533,385.18536377,53.8653526306,-66.7314453125
2016-05-25 21:00:00,301.611846924,594.471923828,121.315620422,371.000640869,468.640045166,311.32901001,15.8933448792,-49.6826591492
2016-05-25 22:00:00,300.625976562,293.092987061,59.8123512268,405.584960938,456.877227783,170.021194458,-14.5949449539,-26.3502349854
