,T2,SWDNB,SWUPB,LWDNB,LWUPB,LH,HFX,GRDFLX
2016-05-25 00:00:00,293.84487915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25 01:00:00,292.45690918,0.0,0.0,328.078643799,390.076629639,0.543902516365,-19.0914554596,42.9689559937
2016-05-25 02:00:00,291.499511719,0.0,0.0,325.757965088,389.247497559,1.95516109467,-29.2571487427,36.3836555481
2016-05-25 03:00:00,290.454528809,0.0,0.0,323.606414795,388.613830566,3.17763590813,-33.7878875732,33.5362892151
2016-05-25 04:00:00,289.643096924,0.0,0.0,322.077148438,385.50869751,3.16041278839,-32.7300834656,33.1642532349
2016-05-25 05:00:00,288.778869629,0.0,0.0,320.904632568,382.284698486,1.14975821972,-27.3854293823,34.1184387207
2016-05-25 06:00:00,288.460540771,0.0,0.0,320.515228271,380.159820557,0.0366748906672,-26.3552055359,32.4462509155
2016-05-25 07:00:00,287.88092041,0.0,0.0,318.441589355,377.386505127,-5.42979383469,-21.6951446533,31.4684696198
2016-05-25 08:00:00,287.967071533,0.0,0.0,318.685424805,376.045410156,-7.85341501236,-18.3213787079,30.3029270172
2016-05-25 09:00:00,287.765167236,0.0,0.0,317.419586182,373.97442627,-8.98968029022,-17.6097660065,29.2490501404
2016-05-25 10:00:00,287.488952637,9.53060817719,1.94523072243,314.474853516,370.057128906,-7.52530097961,-13.686923027,28.1571464539
2016-05-25 11:00:00,289.148193359,175.976486206,35.9174232483,313.242919922,391.116210938,36.8896789551,9.01785469055,-13.0068750381
2016-05-25 12:00:00,292.139343262,380.085021973,77.5766601562,320.513153076,414.620788574,101.596908569,52.3098907471,-50.2316551208
2016-05-25 13:00:00,294.752532959,581.447875977,118.675567627,328.90536499,435.471405029,192.681472778,86.7743453979,-73.8022079468
2016-05-25 14:00:00,297.086669922,758.628356934,154.838699341,337.48840332,453.875549316,280.653564453,113.463226318,-91.0067367554
2016-05-25 15:00:00,298.910827637,896.203979492,182.918319702,346.396148682,467.635253906,360.306304932,133.172790527,-97.7169189453
2016-05-25 16:00:00,300.084747314,986.121154785,201.270751953,350.773345947,474.646179199,423.349182129,141.108505249,-96.0089416504
2016-05-25 17:00:00,300.823059082,1016.01361084,207.371887207,358.690124512,478.572784424,460.218994141,139.718734741,-89.244972229
2016-05-25 18:00:00,301.125549316,989.776794434,202.016876221,356.769958496,478.256713867,466.381286621,121.918205261,-78.9138717651
2016-05-25 19:00:00,301.347625732,911.905883789,186.123199463,356.57723999,477.416748047,433.302246094,101.633537292,-70.5973815918
2016-05-25 20:00:00,301.45880127,771.331481934,157.431427002,364.847930908,475.811645508,370.770568848,72.9179611206,-60.4329833984
2016-05-25 21:00:00,301.127685547,577.58380127,117.886825562,375.413360596,469.525909424,291.664703369,32.5842819214,-43.8331031799
2016-05-25 22:00:00,300.053619385,368.817199707,75.2768554688,371.102203369,456.820098877,193.375900269,-6.00822877884,-23.0832691193
2016-05-25 23:00:00,298.705108643,197.614196777,40.3337478638,359.179412842,445.322723389,77.5034332275,-12.5371704102,-8.1138048172
2016-05-26 00:00:00,296.267120361,25.7964820862,5.26515197754,358.502929688,423.749969482,9.78886318207,-24.1993331909,25.845205307
2016-05-26 01:00:00,294.666748047,0.0,0.0,351.616973877,411.878295898,5.74513816833,-31.3254184723,33.2382736206
2016-05-26 02:00:00,293.119567871,0.0,0.0,348.946228027,408.854217529,7.15946769714,-34.7927055359,31.3333721161
2016-05-26 03:00:00,292.320281982,0.0,0.0,339.921020508,403.863250732,12.6814594269,-44.0969657898,31.9986133575
2016-05-26 04:00:00,291.694671631,0.0,0.0,340.064697266,400.049713135,6.82671546936,-33.2713317871,32.7755661011
2016-05-26 05:00:00,290.633209229,0.0,0.0,336.970855713,394.920196533,5.35462379456,-27.503484726,35.1096191406
2016-05-26 06:00:00,289.578369141,0.0,0.0,332.933044434,389.038330078,1.78102564812,-19.3909225464,38.1295890808
2016-05-26 07:00:00,289.644134521,0.0,0.0,328.886993408,387.78704834,0.824836850166,-26.2817440033,33.4558296204
2016-05-26 08:00:00,289.451690674,0.0,0.0,330.467712402,389.302246094,-0.690902233124,-26.5792541504,29.6232719421
2016-05-26 09:00:00,288.13772583,0.0,0.0,326.907470703,382.527099609,-7.91688680649,-11.4814958572,35.0211486816
2016-05-26 10:00:00,288.412506104,10.2828216553,2.09875893593,325.370483398,380.971160889,-6.42354393005,-15.1619577408,27.5645561218
2016-05-26 11:00:00,291.280517578,173.674942017,35.4476661682,329.096069336,402.204437256,39.8085174561,8.5454044342,-12.9943237305
2016-05-26 12:00:00,294.585540771,371.650970459,75.8552398682,340.576843262,428.003662109,103.458404541,48.9663925171,-51.6437950134
2016-05-26 13:00:00,297.037078857,569.284118652,116.192878723,349.853027344,448.617126465,189.90222168,87.121925354,-74.2262039185
2016-05-26 14:00:00,299.508605957,737.905761719,150.609176636,359.473144531,465.392120361,289.867401123,102.278526306,-87.3568344116
2016-05-26 15:00:00,301.251647949,878.819458008,179.370101929,366.278411865,479.574371338,368.037567139,122.436340332,-95.1879806519
